p=0.97,p=0.95,p=0.93
0.0982,0.0982,0.0982
0.0977,0.0979,0.0979
0.0915,0.0915,0.0915
0.0874,0.0875,0.0872
0.0851,0.0852,0.0852
0.0803,0.0811,0.0808
0.0797,0.0803,0.081
0.0731,0.0749,0.0771
0.0699,0.0725,0.0736
0.063,0.0676,0.0726
0.0638,0.0715,0.0768
0.0693,0.076,0.0831
0.08,0.0864,0.0939
0.088,0.0913,0.0978
0.0906,0.0948,0.1029
0.0868,0.0969,0.106
0.0835,0.0951,0.1059
0.0827,0.0966,0.1081
0.0823,0.1009,0.1126
0.086,0.1008,0.1153
0.0879,0.1027,0.1183
0.0881,0.1059,0.1188
0.0856,0.1079,0.1247
0.0854,0.1104,0.1288
0.086,0.1118,0.1304
0.0878,0.1114,0.1287
0.0902,0.1118,0.1295
0.0904,0.1134,0.1323
0.0914,0.1143,0.1369
0.0927,0.117,0.1414
0.0929,0.1195,0.145
0.0929,0.1237,0.1507
0.0931,0.1241,0.1544
0.0938,0.1246,0.1596
0.0943,0.125,0.1614
0.0945,0.1267,0.1611
0.0955,0.1297,0.1621
0.0962,0.1312,0.1642
0.0971,0.132,0.1679
0.0985,0.1333,0.1706
0.0995,0.1363,0.1727
0.1014,0.1387,0.177
0.102,0.1414,0.1801
0.1034,0.1448,0.1856
0.1045,0.1469,0.1898
0.1048,0.1491,0.1943
0.1067,0.1512,0.1993
0.1079,0.1544,0.2042
0.1091,0.1578,0.2092
0.1096,0.1616,0.2135
0.1109,0.1659,0.219
0.1129,0.1692,0.2245
0.1141,0.1731,0.2277
0.1152,0.1761,0.2328
0.1172,0.1786,0.2381
0.1178,0.1812,0.2422
0.1191,0.1836,0.2471
0.1199,0.1866,0.2511
0.1211,0.1894,0.256
0.1217,0.1911,0.261
0.1225,0.1949,0.2648
0.1229,0.1983,0.2694
0.1243,0.2,0.2735
0.1252,0.2022,0.278
0.1259,0.2063,0.2822
0.1281,0.2078,0.2854
0.1285,0.2108,0.2897
0.1294,0.214,0.2944
0.1305,0.2161,0.2991
0.1317,0.2189,0.3036
0.1328,0.2216,0.3087
0.1336,0.2241,0.3126
0.1353,0.2274,0.3172
0.136,0.2305,0.3213
0.1375,0.2345,0.3263
0.139,0.2372,0.3294
0.141,0.2406,0.3339
0.1419,0.2448,0.3405
0.1442,0.2473,0.3449
0.1451,0.2511,0.3495
0.1465,0.2532,0.3535
0.1474,0.2574,0.3584
0.1491,0.2598,0.363
0.1509,0.2632,0.3688
0.1518,0.2671,0.3736
0.1534,0.2702,0.3787
0.1547,0.2737,0.3823
0.1561,0.2784,0.3864
0.1583,0.2814,0.3908
0.1593,0.2845,0.3945
0.1614,0.2872,0.3989
0.1628,0.2909,0.4024
0.1644,0.2944,0.4057
0.1658,0.2989,0.4106
0.1668,0.3014,0.4138
0.1682,0.3047,0.4172
0.1711,0.3092,0.4218
0.1717,0.3133,0.4265
0.1725,0.3169,0.4295
0.1745,0.3193,0.4326
0.176,0.3212,0.4351
0.1789,0.3235,0.4398
0.18,0.3264,0.4438
0.1812,0.3296,0.4461
0.1831,0.3322,0.45
0.1864,0.3345,0.4525
0.188,0.3383,0.4551
0.1888,0.3411,0.4583
0.1904,0.3436,0.4609
0.1924,0.3463,0.4641
0.1936,0.3506,0.4666
0.1957,0.3531,0.4688
0.197,0.356,0.4709
0.1981,0.3612,0.4743
0.1996,0.3649,0.4778
0.2015,0.3672,0.4807
0.2038,0.3707,0.4826
0.206,0.3731,0.4853
0.2072,0.3753,0.4869
0.2085,0.3776,0.4897
0.2101,0.3804,0.4915
0.2113,0.3833,0.493
0.2123,0.3862,0.496
0.214,0.387,0.4985
0.2159,0.3888,0.5015
0.2176,0.3914,0.5037
0.2189,0.3943,0.5067
0.221,0.3966,0.5089
0.2221,0.4,0.5129
0.2246,0.4028,0.5147
0.2267,0.4051,0.5171
0.2291,0.4072,0.5193
0.231,0.4095,0.5215
0.233,0.4114,0.5242
0.2351,0.4132,0.5262
0.2359,0.4148,0.5273
0.2376,0.4173,0.5293
0.239,0.4217,0.5312
0.2423,0.4237,0.5324
0.2435,0.4265,0.5336
0.2444,0.4288,0.5353
0.2464,0.431,0.5355
0.2482,0.4336,0.537
0.2491,0.4356,0.5391
0.2504,0.4376,0.5401
0.2525,0.4396,0.5414
0.2547,0.4416,0.5436
0.2564,0.4422,0.5453
0.2586,0.4435,0.547
0.2596,0.4451,0.5493
0.2608,0.4466,0.55
0.2622,0.4494,0.5512
0.2633,0.4499,0.5524
0.2649,0.4517,0.5544
0.2664,0.4533,0.5549
0.2689,0.4561,0.5569
0.2691,0.4574,0.5588
0.2712,0.4596,0.5593
0.273,0.4614,0.5599
0.2748,0.4632,0.5605
0.2765,0.4654,0.5618
0.2778,0.4669,0.5633
0.2804,0.4677,0.5641
0.2832,0.4687,0.5654
0.2853,0.4704,0.5664
0.2864,0.4713,0.5681
0.2879,0.4724,0.5679
0.2881,0.4727,0.5687
0.289,0.4749,0.5705
0.2905,0.476,0.571
0.2913,0.4775,0.5717
0.2925,0.4789,0.5735
0.2937,0.4807,0.5748
0.2957,0.4824,0.5765
0.2968,0.4847,0.5779
0.2985,0.4871,0.5792
0.2995,0.4895,0.5801
0.3007,0.49,0.5807
0.3024,0.4916,0.5822
0.3038,0.4933,0.5832
0.3053,0.4948,0.5836
0.3068,0.4955,0.5844
0.3076,0.4969,0.585
0.3091,0.4984,0.5853
0.3106,0.4993,0.5867
0.313,0.5008,0.5874
0.3146,0.5025,0.5887
0.3157,0.5033,0.5893
0.3173,0.5056,0.5907
0.3186,0.5059,0.5922
0.3198,0.507,0.5926
0.3206,0.5079,0.593
0.3211,0.5083,0.5943
0.3228,0.5097,0.5946
0.324,0.5101,0.5948
0.3252,0.5106,0.5954
0.3261,0.5115,0.5958
0.3283,0.5123,0.596
0.3296,0.5127,0.5961
0.3309,0.513,0.5966
0.3314,0.5139,0.5968
0.3328,0.515,0.5974
0.3334,0.5161,0.5983
0.3354,0.5166,0.5992
0.3374,0.5178,0.5994
0.3386,0.5187,0.6008
0.3404,0.5193,0.6012
0.3414,0.5203,0.602
0.3425,0.5218,0.6021
0.343,0.5224,0.6024
0.3446,0.5225,0.6044
0.346,0.5243,0.6052
0.3472,0.5261,0.606
0.3494,0.5263,0.6063
0.3506,0.5272,0.6066
0.3517,0.5271,0.6064
0.3537,0.5284,0.6069
0.3539,0.5284,0.6065
0.3546,0.5301,0.6075
0.3557,0.5309,0.6082
0.358,0.5317,0.6083
0.3587,0.5314,0.6089
0.3607,0.5313,0.61
0.3612,0.5318,0.6108
0.3625,0.5322,0.6108
0.3621,0.5316,0.611
0.3643,0.5326,0.611
0.3655,0.5324,0.6113
0.366,0.5328,0.6118
0.3665,0.5324,0.6116
0.3672,0.5331,0.6127
0.3671,0.5332,0.6122
0.3683,0.5324,0.6124
0.3691,0.5338,0.6121
0.3688,0.5348,0.6126
0.3698,0.5355,0.6134
0.3701,0.5357,0.6138
0.3706,0.5359,0.6135
0.372,0.5359,0.6138
0.3727,0.5364,0.6136
0.3738,0.5364,0.6143
0.3742,0.5369,0.6146
0.3749,0.538,0.6153
0.3758,0.5385,0.615
0.3773,0.5392,0.6143
0.3771,0.54,0.6145
0.3781,0.5404,0.6139
0.3789,0.542,0.6144
0.3799,0.5427,0.6151
0.3807,0.5431,0.6156
0.3812,0.544,0.6159
0.3812,0.5443,0.6169
0.382,0.5446,0.6166
0.3823,0.5454,0.6175
0.3833,0.5452,0.6175
0.3848,0.5452,0.6173
0.3842,0.545,0.6184
0.3847,0.546,0.6183
0.3857,0.5463,0.6185
0.3865,0.5469,0.6187
0.3874,0.5466,0.6192
0.3882,0.5459,0.6189
0.3881,0.5467,0.6198
0.3886,0.5458,0.6194
0.3901,0.5461,0.6196
0.3901,0.5457,0.6187
0.3919,0.5459,0.6193
0.3927,0.5462,0.6193
0.3934,0.5466,0.6192
0.3938,0.5468,0.6197
0.3943,0.5469,0.6194
0.395,0.5467,0.6197
0.396,0.5477,0.62
0.3961,0.5472,0.6202
0.3965,0.5469,0.6205
0.3975,0.5476,0.6213
0.398,0.5475,0.6215
0.3982,0.5473,0.6217
0.3994,0.5474,0.6223
0.4003,0.5469,0.6231
0.4005,0.5471,0.6238
0.4006,0.548,0.6244
0.4011,0.547,0.6246
0.4018,0.5469,0.6245
0.4029,0.547,0.6252
0.4034,0.5472,0.6254
0.4042,0.5469,0.6265
0.4044,0.5478,0.6271
0.4049,0.548,0.6275
0.4054,0.5487,0.6276
0.4057,0.5483,0.6274
0.4063,0.5494,0.6281
0.4063,0.5491,0.6281
0.4069,0.5504,0.6287
0.4081,0.5503,0.6286
0.4074,0.5499,0.6289
0.4075,0.5504,0.6294
0.4085,0.5499,0.6297
0.4086,0.5495,0.6291
0.4094,0.5491,0.6299
0.4104,0.5491,0.6299
0.4107,0.549,0.6304
0.4121,0.5492,0.6305
0.4119,0.5493,0.631
0.4132,0.5494,0.6306
0.4128,0.549,0.6312
0.4137,0.549,0.6312
0.4146,0.5495,0.6317
0.4151,0.5496,0.631
0.4153,0.5495,0.6326
0.4159,0.5506,0.6328
0.4168,0.5499,0.6331
0.4177,0.5498,0.6336
0.4187,0.5494,0.6334
0.419,0.5492,0.6332
0.4198,0.549,0.6332
0.4197,0.5492,0.6337
0.4203,0.5486,0.6335
0.42,0.5488,0.6337
0.4205,0.5489,0.6339
0.4205,0.5487,0.6336
0.4211,0.549,0.634
0.4223,0.548,0.6337
0.423,0.5484,0.6338
0.4236,0.5482,0.6338
0.4233,0.5485,0.6347
0.4238,0.5482,0.6338
0.4244,0.5477,0.6344
0.425,0.5482,0.6338
0.4254,0.5478,0.6347
0.4263,0.5478,0.6347
0.4266,0.5471,0.6359
0.4272,0.5467,0.6346
0.4285,0.5467,0.6358
0.4289,0.547,0.6363
0.4294,0.5471,0.6366
0.4299,0.5462,0.6367
0.4303,0.5468,0.6371
0.4307,0.5467,0.6365
0.4309,0.5473,0.6368
0.4323,0.5471,0.6372
0.4326,0.5475,0.6378
0.4327,0.5475,0.6378
0.4332,0.5472,0.6385
0.4331,0.547,0.638
0.4344,0.5476,0.6389
0.4343,0.5474,0.6388
0.4364,0.5476,0.6392
0.4367,0.5477,0.6381
0.4376,0.5475,0.6394
0.4372,0.5474,0.6396
0.4379,0.5475,0.6398
0.4381,0.5472,0.6392
0.4388,0.548,0.6397
0.4396,0.5479,0.6396
0.4402,0.5482,0.6404
0.4409,0.5476,0.6391
0.4407,0.5475,0.64
0.4418,0.5478,0.6399
0.4423,0.5478,0.6397
0.442,0.5472,0.6398
0.4427,0.5477,0.6409
0.4428,0.5486,0.6408
0.4431,0.5482,0.6416
0.4443,0.5476,0.6411
0.4439,0.548,0.6426
0.4446,0.548,0.6419
0.4442,0.5474,0.6431
0.4444,0.5477,0.6426
0.4445,0.5477,0.6436
0.4447,0.549,0.6438
0.4447,0.5488,0.6437
0.4455,0.5482,0.6437
0.4459,0.5489,0.6445
0.4462,0.5487,0.6446
0.4466,0.5492,0.6447
0.4471,0.549,0.6437
0.4477,0.5494,0.6437
0.4473,0.5483,0.6435
0.4483,0.5485,0.6438
0.448,0.5471,0.6443
0.4485,0.5467,0.6442
0.4491,0.5469,0.6438
0.4491,0.5477,0.6447
0.4496,0.5472,0.6442
0.4498,0.5479,0.6454
0.4497,0.5472,0.6444
0.4501,0.5478,0.6447
0.4503,0.547,0.6439
0.4507,0.5476,0.6453
0.4513,0.5472,0.6446
0.4517,0.5476,0.6456
0.4523,0.5474,0.6457
0.4527,0.548,0.6455
0.4535,0.5477,0.645
0.4537,0.5478,0.6453
0.4545,0.5472,0.6446
0.4552,0.5477,0.6464
0.4556,0.5472,0.6458
0.4558,0.5474,0.6465
0.4554,0.5477,0.646
0.4563,0.5471,0.6467
0.4577,0.5476,0.6469
0.4584,0.5478,0.6463
0.4588,0.547,0.6464
0.4588,0.5475,0.647
0.4587,0.5472,0.6474
0.4586,0.5475,0.6474
0.4597,0.5464,0.6466
0.4601,0.547,0.6479
0.461,0.5465,0.6464
0.4614,0.5475,0.6473
0.4618,0.5464,0.647
0.462,0.5466,0.6478
0.4625,0.5465,0.6472
0.4629,0.5465,0.6478
0.463,0.5467,0.6475
0.4628,0.5466,0.648
0.4634,0.5464,0.6472
0.4633,0.5465,0.6476
0.4633,0.547,0.6466
0.4644,0.5473,0.6482
0.4643,0.5477,0.6472
0.465,0.5473,0.6482
0.4661,0.5476,0.6471
0.4664,0.5466,0.6477
0.4666,0.5468,0.6469
0.4666,0.5459,0.6469
0.4673,0.5458,0.6467
0.4675,0.5448,0.6472
0.4676,0.5457,0.6474
0.4675,0.5458,0.6479
0.4679,0.5451,0.648
0.4685,0.5455,0.648
0.468,0.5452,0.6478
0.4682,0.5459,0.6482
0.4689,0.5457,0.6482
0.4691,0.5458,0.6482
0.4701,0.5451,0.6477
0.4703,0.5455,0.648
0.4702,0.5439,0.6475
0.4696,0.5445,0.6482
0.4698,0.5444,0.6478
0.4696,0.5444,0.6485
0.4703,0.5447,0.648
0.4704,0.5444,0.6479
0.471,0.5446,0.6485
0.4707,0.5449,0.6478
0.4712,0.5449,0.6486
0.4711,0.5444,0.6484
0.4713,0.5438,0.6484
0.471,0.5442,0.6497
0.4718,0.5435,0.649
0.4716,0.5436,0.6491
0.4719,0.5429,0.6489
0.472,0.5431,0.6494
0.4724,0.5429,0.6482
0.4728,0.5426,0.6495
0.474,0.5426,0.6487
0.4744,0.5419,0.6497
0.4744,0.5416,0.6491
0.4747,0.5415,0.65
0.4741,0.5416,0.6493
0.4745,0.541,0.6502
0.4748,0.5403,0.6496
0.4748,0.5411,0.6504
0.4751,0.5406,0.6502
0.4752,0.5408,0.6504
0.4756,0.5408,0.6496
0.4754,0.5411,0.6498
0.4762,0.5412,0.6492
0.4769,0.5414,0.6496
0.4772,0.5406,0.6496
0.4773,0.5407,0.65
0.4782,0.5398,0.6495
0.478,0.5403,0.6501
0.4793,0.5399,0.6495
0.4787,0.54,0.6505
0.4786,0.5403,0.6499
0.4788,0.5398,0.6499
0.4787,0.54,0.6497
0.4782,0.5396,0.6499
0.4797,0.54,0.6501
0.4794,0.539,0.6505
0.4796,0.5392,0.6503
0.4799,0.5395,0.6501
0.4807,0.5382,0.6504
0.4795,0.5386,0.6507
0.4796,0.5369,0.6497
0.4801,0.5374,0.6501
0.4795,0.5369,0.6499
0.4794,0.5373,0.6506
0.4803,0.5369,0.6503
0.4799,0.5364,0.6501
0.48,0.5359,0.6501
0.4801,0.5356,0.6502
0.48,0.5356,0.6503
0.4803,0.5348,0.6512
0.4799,0.5348,0.6505
0.4799,0.5342,0.6512
